rows_ciphs_distribution,v-score,r-score,num of good files
1000000_100_lin-invlin,0.23984763363976844,0.23888788139973785,10
1000000_50_zipf-zipf,0.2283078792572586,0.8961605442343877,10
1000000_500_zipf-randzipf,0.2280728032142743,0.8486164181533622,10
1000000_200_lin-invlin,0.1845849209248739,0.18562971685051616,10
1000000_100_lin-zipf,0.171122874176923,0.16318271607937063,10
1000000_50_lin-lin,0.1699827175408571,0.09630293299330894,10
1000000_200_zipf-invzipf,0.16792575082888178,0.43733175434331456,10
1000000_500_lin-randlin,0.16435873139554333,0.11219038024785466,10
1000000_50_lin-slin,0.14957379661120812,0.07117806531808339,10
1000000_100_zipf-zipf,0.14506496974749208,0.8366474589111312,10
1000000_200_lin-zipf,0.1346868248233189,0.12690735536535308,10
1000000_100_lin-lin,0.10231051392552318,0.07121177035041618,10
1000000_100_lin-slin,0.10214439145598904,0.05722797665355879,10
1000000_200_lin-lin,0.09227777228417704,0.036164056980843504,10
1000000_500_lin-invlin,0.08540827322760937,0.08205128568635958,10
1000000_200_zipf-zipf,0.08176708242892752,0.8645320078602042,10
1000000_500_zipf-invzipf,0.0741475655002469,0.3700149239790232,10
1000000_200_lin-slin,0.07109755057169485,0.035198448984753265,10
1000000_500_lin-zipf,0.05712231507787763,0.053086330244301635,10
1000000_500_zipf-zipf,0.041170451680452344,0.8793393421499793,10
1000000_500_lin-lin,0.035215831568220335,0.009237784190351787,10
1000000_500_lin-slin,0.02662103628489096,0.010934312579053872,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_10_zipf-randzipf,0.925,0.9756520883522682,10
1000000_10_zipf-zipf,0.6,0.9277170332684932,10
1000000_50_zipf-zipf,0.2283078792572586,0.8961605442343877,10
1000000_100_zipf-randzipf,0.5840427710007129,0.8959402855684363,10
1000000_500_zipf-zipf,0.041170451680452344,0.8793393421499793,10
1000000_200_zipf-zipf,0.08176708242892752,0.8645320078602042,10
1000000_500_zipf-randzipf,0.2280728032142743,0.8486164181533622,10
1000000_50_zipf-randzipf,0.6345525427394068,0.8456597320078876,10
1000000_100_zipf-zipf,0.14506496974749208,0.8366474589111312,10
1000000_10_lin-zipf,0.75,0.7497356664813595,10
1000000_200_zipf-randzipf,0.3183167321465071,0.7426037323211664,10
1000000_50_zipf-invzipf,0.515446173549359,0.6987337556395977,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_100_zipf-invzipf,0.32415563004508235,0.5676292070531627,10
1000000_50_lin-randlin,0.5677843952858133,0.5274541128116703,10
1000000_10_lin-lin,0.6638888888888889,0.4913248548015693,10
1000000_100_lin-randlin,0.5633577208940725,0.4410064208484233,10
1000000_200_zipf-invzipf,0.16792575082888178,0.43733175434331456,10
1000000_500_zipf-invzipf,0.0741475655002469,0.3700149239790232,10
1000000_50_lin-zipf,0.3080951533461053,0.31155341317237073,10
1000000_50_lin-invlin,0.3021988064714438,0.2877660046162443,10
1000000_200_lin-randlin,0.3617102300262523,0.2757958776660726,10
1000000_100_lin-invlin,0.23984763363976844,0.23888788139973785,10
1000000_200_lin-invlin,0.1845849209248739,0.18562971685051616,10
1000000_100_lin-zipf,0.171122874176923,0.16318271607937063,10
1000000_200_lin-zipf,0.1346868248233189,0.12690735536535308,10
1000000_500_lin-randlin,0.16435873139554333,0.11219038024785466,10
1000000_50_lin-lin,0.1699827175408571,0.09630293299330894,10
1000000_500_lin-invlin,0.08540827322760937,0.08205128568635958,10
1000000_100_lin-lin,0.10231051392552318,0.07121177035041618,10
1000000_50_lin-slin,0.14957379661120812,0.07117806531808339,10
1000000_100_lin-slin,0.10214439145598904,0.05722797665355879,10
1000000_500_lin-zipf,0.05712231507787763,0.053086330244301635,10
1000000_200_lin-lin,0.09227777228417704,0.036164056980843504,10
1000000_200_lin-slin,0.07109755057169485,0.035198448984753265,10
1000000_500_lin-slin,0.02662103628489096,0.010934312579053872,10
1000000_500_lin-lin,0.035215831568220335,0.009237784190351787,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_10_zipf-randzipf,0.925,0.9756520883522682,10
1000000_10_zipf-zipf,0.6,0.9277170332684932,10
1000000_10_lin-zipf,0.75,0.7497356664813595,10
1000000_50_zipf-randzipf,0.6345525427394068,0.8456597320078876,10
1000000_100_zipf-randzipf,0.5840427710007129,0.8959402855684363,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_50_zipf-invzipf,0.515446173549359,0.6987337556395977,10
1000000_10_lin-lin,0.6638888888888889,0.4913248548015693,10
1000000_50_zipf-zipf,0.2283078792572586,0.8961605442343877,10
1000000_50_lin-randlin,0.5677843952858133,0.5274541128116703,10
1000000_500_zipf-randzipf,0.2280728032142743,0.8486164181533622,10
1000000_200_zipf-randzipf,0.3183167321465071,0.7426037323211664,10
1000000_100_lin-randlin,0.5633577208940725,0.4410064208484233,10
1000000_100_zipf-zipf,0.14506496974749208,0.8366474589111312,10
1000000_200_zipf-zipf,0.08176708242892752,0.8645320078602042,10
1000000_500_zipf-zipf,0.041170451680452344,0.8793393421499793,10
1000000_100_zipf-invzipf,0.32415563004508235,0.5676292070531627,10
1000000_200_lin-randlin,0.3617102300262523,0.2757958776660726,10
1000000_50_lin-zipf,0.3080951533461053,0.31155341317237073,10
1000000_200_zipf-invzipf,0.16792575082888178,0.43733175434331456,10
1000000_50_lin-invlin,0.3021988064714438,0.2877660046162443,10
1000000_100_lin-invlin,0.23984763363976844,0.23888788139973785,10
1000000_500_zipf-invzipf,0.0741475655002469,0.3700149239790232,10
1000000_200_lin-invlin,0.1845849209248739,0.18562971685051616,10
1000000_100_lin-zipf,0.171122874176923,0.16318271607937063,10
1000000_500_lin-randlin,0.16435873139554333,0.11219038024785466,10
1000000_50_lin-lin,0.1699827175408571,0.09630293299330894,10
1000000_200_lin-zipf,0.1346868248233189,0.12690735536535308,10
1000000_50_lin-slin,0.14957379661120812,0.07117806531808339,10
1000000_100_lin-lin,0.10231051392552318,0.07121177035041618,10
1000000_500_lin-invlin,0.08540827322760937,0.08205128568635958,10
1000000_100_lin-slin,0.10214439145598904,0.05722797665355879,10
1000000_200_lin-lin,0.09227777228417704,0.036164056980843504,10
1000000_500_lin-zipf,0.05712231507787763,0.053086330244301635,10
1000000_200_lin-slin,0.07109755057169485,0.035198448984753265,10
1000000_500_lin-lin,0.035215831568220335,0.009237784190351787,10
1000000_500_lin-slin,0.02662103628489096,0.010934312579053872,10




