rows_ciphs_distribution,v-score,r-score,num of good files
1000000_100_zipf-randzipf,0.9566619625702119,0.9966364373055615,10
1000000_200_zipf-randzipf,0.8094111518603994,0.9708117694040574,10
1000000_500_zipf-randzipf,0.3760870351664801,0.8757383157290516,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-invzipf,0.9914893617021276,0.9978212290233687,10
1000000_100_zipf-invzipf,0.7825013143405583,0.901310063988262,10
1000000_200_zipf-invzipf,0.3893813994963272,0.6960922144010453,10
1000000_500_zipf-invzipf,0.14691022993181524,0.5163449742951459,10




1000000_10_lin-lin,1.0,1.0,10
1000000_10_lin-slin,1.0,1.0,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-randzipf,0.9978260869565216,0.9999999657340523,10
1000000_50_zipf-invzipf,0.9914893617021276,0.9978212290233687,10
1000000_100_zipf-randzipf,0.9566619625702119,0.9966364373055615,10
1000000_50_lin-randlin,0.9532299741602067,0.9628811090625163,10
1000000_100_lin-randlin,0.8707195444637612,0.8678878554971377,10
1000000_200_zipf-randzipf,0.8094111518603994,0.9708117694040574,10
1000000_50_lin-invlin,0.809090909090909,0.8000005392338025,10
1000000_100_zipf-invzipf,0.7825013143405583,0.901310063988262,10
1000000_50_zipf-zipf,0.7674848174101664,0.9930873997775465,10
1000000_200_lin-randlin,0.7592056804788484,0.7575388577156084,10
1000000_50_lin-lin,0.7538773113191717,0.5723545513565989,10
1000000_50_lin-zipf,0.6602363494990906,0.6502731070963174,10
1000000_50_lin-slin,0.6500219076508257,0.4590732604614476,10
1000000_100_lin-invlin,0.5618814549994327,0.5437352597050595,10
1000000_500_lin-randlin,0.5319368644542967,0.5450800353894342,10
1000000_100_zipf-zipf,0.5266897005420972,0.9858194399909509,10
1000000_100_lin-lin,0.5225333288348224,0.2709520670657164,10
1000000_100_lin-zipf,0.4780363770716347,0.4547924515333889,10
1000000_100_lin-slin,0.43571841677198775,0.2334058682173704,10
1000000_200_zipf-invzipf,0.3893813994963272,0.6960922144010453,10
1000000_500_zipf-randzipf,0.3760870351664801,0.8757383157290516,10
1000000_200_lin-invlin,0.3716633629371823,0.33248691605747577,10
1000000_200_zipf-zipf,0.33284682573827484,0.9843089639493353,10
1000000_200_lin-lin,0.31664490606565776,0.11588049826495768,10
1000000_200_lin-zipf,0.29343618787223735,0.28491521402818765,10
1000000_200_lin-slin,0.2650347509677548,0.11065624113091621,10
1000000_500_zipf-invzipf,0.14691022993181524,0.5163449742951459,10
1000000_500_zipf-zipf,0.13719901342331262,0.9855954466377341,10
1000000_500_lin-zipf,0.09231314799022532,0.08930572885443759,10
1000000_500_lin-invlin,0.08799369737054516,0.09354098391266796,10
1000000_500_lin-lin,0.08565904384213616,0.029033695599065563,10
1000000_500_lin-slin,0.06650238179963629,0.02892173188419393,10




1000000_10_lin-lin,1.0,1.0,10
1000000_10_lin-slin,1.0,1.0,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-randzipf,0.9978260869565216,0.9999999657340523,10
1000000_50_zipf-invzipf,0.9914893617021276,0.9978212290233687,10
1000000_100_zipf-randzipf,0.9566619625702119,0.9966364373055615,10
1000000_50_zipf-zipf,0.7674848174101664,0.9930873997775465,10
1000000_100_zipf-zipf,0.5266897005420972,0.9858194399909509,10
1000000_500_zipf-zipf,0.13719901342331262,0.9855954466377341,10
1000000_200_zipf-zipf,0.33284682573827484,0.9843089639493353,10
1000000_200_zipf-randzipf,0.8094111518603994,0.9708117694040574,10
1000000_50_lin-randlin,0.9532299741602067,0.9628811090625163,10
1000000_100_zipf-invzipf,0.7825013143405583,0.901310063988262,10
1000000_500_zipf-randzipf,0.3760870351664801,0.8757383157290516,10
1000000_100_lin-randlin,0.8707195444637612,0.8678878554971377,10
1000000_50_lin-invlin,0.809090909090909,0.8000005392338025,10
1000000_200_lin-randlin,0.7592056804788484,0.7575388577156084,10
1000000_200_zipf-invzipf,0.3893813994963272,0.6960922144010453,10
1000000_50_lin-zipf,0.6602363494990906,0.6502731070963174,10
1000000_50_lin-lin,0.7538773113191717,0.5723545513565989,10
1000000_500_lin-randlin,0.5319368644542967,0.5450800353894342,10
1000000_100_lin-invlin,0.5618814549994327,0.5437352597050595,10
1000000_500_zipf-invzipf,0.14691022993181524,0.5163449742951459,10
1000000_50_lin-slin,0.6500219076508257,0.4590732604614476,10
1000000_100_lin-zipf,0.4780363770716347,0.4547924515333889,10
1000000_200_lin-invlin,0.3716633629371823,0.33248691605747577,10
1000000_200_lin-zipf,0.29343618787223735,0.28491521402818765,10
1000000_100_lin-lin,0.5225333288348224,0.2709520670657164,10
1000000_100_lin-slin,0.43571841677198775,0.2334058682173704,10
1000000_200_lin-lin,0.31664490606565776,0.11588049826495768,10
1000000_200_lin-slin,0.2650347509677548,0.11065624113091621,10
1000000_500_lin-invlin,0.08799369737054516,0.09354098391266796,10
1000000_500_lin-zipf,0.09231314799022532,0.08930572885443759,10
1000000_500_lin-lin,0.08565904384213616,0.029033695599065563,10
1000000_500_lin-slin,0.06650238179963629,0.02892173188419393,10




1000000_10_lin-lin,1.0,1.0,10
1000000_10_lin-slin,1.0,1.0,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-randzipf,0.9978260869565216,0.9999999657340523,10
1000000_50_zipf-invzipf,0.9914893617021276,0.9978212290233687,10
1000000_100_zipf-randzipf,0.9566619625702119,0.9966364373055615,10
1000000_50_lin-randlin,0.9532299741602067,0.9628811090625163,10
1000000_200_zipf-randzipf,0.8094111518603994,0.9708117694040574,10
1000000_50_zipf-zipf,0.7674848174101664,0.9930873997775465,10
1000000_100_lin-randlin,0.8707195444637612,0.8678878554971377,10
1000000_100_zipf-invzipf,0.7825013143405583,0.901310063988262,10
1000000_50_lin-invlin,0.809090909090909,0.8000005392338025,10
1000000_200_lin-randlin,0.7592056804788484,0.7575388577156084,10
1000000_100_zipf-zipf,0.5266897005420972,0.9858194399909509,10
1000000_50_lin-lin,0.7538773113191717,0.5723545513565989,10
1000000_200_zipf-zipf,0.33284682573827484,0.9843089639493353,10
1000000_50_lin-zipf,0.6602363494990906,0.6502731070963174,10
1000000_500_zipf-randzipf,0.3760870351664801,0.8757383157290516,10
1000000_500_zipf-zipf,0.13719901342331262,0.9855954466377341,10
1000000_50_lin-slin,0.6500219076508257,0.4590732604614476,10
1000000_100_lin-invlin,0.5618814549994327,0.5437352597050595,10
1000000_200_zipf-invzipf,0.3893813994963272,0.6960922144010453,10
1000000_500_lin-randlin,0.5319368644542967,0.5450800353894342,10
1000000_100_lin-zipf,0.4780363770716347,0.4547924515333889,10
1000000_100_lin-lin,0.5225333288348224,0.2709520670657164,10
1000000_200_lin-invlin,0.3716633629371823,0.33248691605747577,10
1000000_100_lin-slin,0.43571841677198775,0.2334058682173704,10
1000000_500_zipf-invzipf,0.14691022993181524,0.5163449742951459,10
1000000_200_lin-zipf,0.29343618787223735,0.28491521402818765,10
1000000_200_lin-lin,0.31664490606565776,0.11588049826495768,10
1000000_200_lin-slin,0.2650347509677548,0.11065624113091621,10
1000000_500_lin-zipf,0.09231314799022532,0.08930572885443759,10
1000000_500_lin-invlin,0.08799369737054516,0.09354098391266796,10
1000000_500_lin-lin,0.08565904384213616,0.029033695599065563,10
1000000_500_lin-slin,0.06650238179963629,0.02892173188419393,10




