rows_ciphs_distribution,v-score,r-score,num of good files
1000000_100_lin-lin,0.16570385865658666,0.09884981733468032,10
1000000_200_lin-zipf,0.14766276678573217,0.14602404795817564,10
1000000_200_zipf-zipf,0.1421804191079436,0.9617632950130972,10
1000000_200_lin-lin,0.13628769860834072,0.056895990619450706,10
1000000_500_zipf-invzipf,0.10723652871017313,0.47561313635217156,10
1000000_500_lin-zipf,0.0935075495954552,0.09335599899698786,10
1000000_200_lin-slin,0.09211152805540147,0.045603928296836405,10
1000000_500_zipf-zipf,0.07433460755487706,0.9656297002184198,10
1000000_500_lin-invlin,0.07001397025709871,0.06727119787135434,10
1000000_500_lin-lin,0.0478061598971402,0.016430246639425706,10
1000000_500_lin-slin,0.03925872230895715,0.01459342709972428,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_500_zipf-zipf,0.07433460755487706,0.9656297002184198,10
1000000_50_zipf-zipf,0.3926317702333665,0.9624548859912204,10
1000000_200_zipf-zipf,0.1421804191079436,0.9617632950130972,10
1000000_100_zipf-zipf,0.2266060702385536,0.9588226132925455,10
1000000_100_zipf-randzipf,0.6625181620165772,0.9134413790283716,10
1000000_500_zipf-randzipf,0.3537946394419052,0.9097712017202626,10
1000000_50_zipf-randzipf,0.6630393401438731,0.8593980079108325,10
1000000_200_zipf-randzipf,0.44723504382739276,0.8551116230817518,10
1000000_100_lin-randlin,0.7825079160026285,0.7724521194216989,10
1000000_50_zipf-invzipf,0.5390757237052551,0.7438859229140128,10
1000000_50_lin-randlin,0.6733024639065478,0.7363324581643547,10
1000000_100_zipf-invzipf,0.4262256412297788,0.6995997042883896,10
1000000_10_lin-lin,0.8305555555555555,0.6306143165856831,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_200_zipf-invzipf,0.20750414148090943,0.5587462744210201,10
1000000_200_lin-randlin,0.5757240373294273,0.5201172294914265,10
1000000_500_zipf-invzipf,0.10723652871017313,0.47561313635217156,10
1000000_50_lin-zipf,0.4523318071970267,0.47069153452523177,10
1000000_50_lin-lin,0.335891472868217,0.3121041799151215,10
1000000_50_lin-invlin,0.29608122291694783,0.29209750509549026,10
1000000_500_lin-randlin,0.30670748942261783,0.2693902938548548,10
1000000_100_lin-invlin,0.24329531267733512,0.24229457118453052,10
1000000_50_lin-slin,0.2976680352565085,0.24149257064807678,10
1000000_100_lin-zipf,0.20015035498443662,0.20082994170989205,10
1000000_200_lin-invlin,0.17280034595445984,0.17220297696610043,10
1000000_200_lin-zipf,0.14766276678573217,0.14602404795817564,10
1000000_100_lin-slin,0.18195957714130798,0.11242323256927533,10
1000000_100_lin-lin,0.16570385865658666,0.09884981733468032,10
1000000_500_lin-zipf,0.0935075495954552,0.09335599899698786,10
1000000_500_lin-invlin,0.07001397025709871,0.06727119787135434,10
1000000_200_lin-lin,0.13628769860834072,0.056895990619450706,10
1000000_200_lin-slin,0.09211152805540147,0.045603928296836405,10
1000000_500_lin-lin,0.0478061598971402,0.016430246639425706,10
1000000_500_lin-slin,0.03925872230895715,0.01459342709972428,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_100_zipf-randzipf,0.6625181620165772,0.9134413790283716,10
1000000_100_lin-randlin,0.7825079160026285,0.7724521194216989,10
1000000_50_zipf-randzipf,0.6630393401438731,0.8593980079108325,10
1000000_10_lin-lin,0.8305555555555555,0.6306143165856831,10
1000000_50_lin-randlin,0.6733024639065478,0.7363324581643547,10
1000000_50_zipf-zipf,0.3926317702333665,0.9624548859912204,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_200_zipf-randzipf,0.44723504382739276,0.8551116230817518,10
1000000_50_zipf-invzipf,0.5390757237052551,0.7438859229140128,10
1000000_500_zipf-randzipf,0.3537946394419052,0.9097712017202626,10
1000000_100_zipf-zipf,0.2266060702385536,0.9588226132925455,10
1000000_100_zipf-invzipf,0.4262256412297788,0.6995997042883896,10
1000000_200_zipf-zipf,0.1421804191079436,0.9617632950130972,10
1000000_200_lin-randlin,0.5757240373294273,0.5201172294914265,10
1000000_500_zipf-zipf,0.07433460755487706,0.9656297002184198,10
1000000_50_lin-zipf,0.4523318071970267,0.47069153452523177,10
1000000_200_zipf-invzipf,0.20750414148090943,0.5587462744210201,10
1000000_50_lin-lin,0.335891472868217,0.3121041799151215,10
1000000_50_lin-invlin,0.29608122291694783,0.29209750509549026,10
1000000_500_zipf-invzipf,0.10723652871017313,0.47561313635217156,10
1000000_500_lin-randlin,0.30670748942261783,0.2693902938548548,10
1000000_50_lin-slin,0.2976680352565085,0.24149257064807678,10
1000000_100_lin-invlin,0.24329531267733512,0.24229457118453052,10
1000000_100_lin-zipf,0.20015035498443662,0.20082994170989205,10
1000000_200_lin-invlin,0.17280034595445984,0.17220297696610043,10
1000000_100_lin-slin,0.18195957714130798,0.11242323256927533,10
1000000_200_lin-zipf,0.14766276678573217,0.14602404795817564,10
1000000_100_lin-lin,0.16570385865658666,0.09884981733468032,10
1000000_200_lin-lin,0.13628769860834072,0.056895990619450706,10
1000000_500_lin-zipf,0.0935075495954552,0.09335599899698786,10
1000000_200_lin-slin,0.09211152805540147,0.045603928296836405,10
1000000_500_lin-invlin,0.07001397025709871,0.06727119787135434,10
1000000_500_lin-lin,0.0478061598971402,0.016430246639425706,10
1000000_500_lin-slin,0.03925872230895715,0.01459342709972428,10




